hs_code,hs_description,period_value,ytd_value
2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",5266542.36,5266542.36
2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",17687.2,17687.2
2915,"Acids; saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",422157.0,422157.0
2916,"Acids; unsaturated acyclic monocarboxylic, cyclic monocarboxylic, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",111188.8,111188.8
2918,"Acids; carboxylic acid with additional oxygen function and their anhydrides, halides, peroxides, peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",2919351.0,2919351.0
2921,Amine-function compounds,25360.0,25360.0
2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,17234.7,17234.7
2936,"Provitamins, vitamins; natural or reproduced by synthesis (including natural concentrates) derivatives thereof used as vitamins, and intermixtures of the fore-going, whether or not in any solvent",110616.6,110616.6
2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than the products of heading 29.37, 29.38, or ",46235.46,46235.46
2941,Antibiotics,14662.81,14662.81
2942,Organic compounds; n.e.c. in chapter 29,27440.0,27440.0
3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxin",146683.96,146683.96
3002,Meat and edible meat offal,0.0,0.0
3003,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) of two or more constituents mixed together for therapeutic or prophylactic use not in measured doses or in forms or packings for retail sale",824165.28,824165.28
3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal",1213711.37,1213711.37
3005,"Wadding, gauze, bandages (dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or in forms or packings for retail sale, for medical, surgical or veterinary us",78646.5,78646.5
3006,Pharmaceutical goods,2830336.38,2830336.38
3101,"Fertilizers; animal or vegetable, whether or not mixed together or chemically treated; fertilizers produced by the mixing or chemical treatment of animal or vegetable products",290000.0,290000.0
3203,"Colouring matter of vegetable or animal origin (including dyeing extracts, not animal black); whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin",291879.95999999996,291879.95999999996
3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used as fluorescent brightening agents or as luminophores; whether or not chemically defined,8451698.1,8451698.1
3206,"Colouring matter and preparations thereof n.e.c. in heading no. 3203, 3204, 3205; inorganic products, kind used as luminophores whether or not chemically defined",83332.0,83332.0
3207,"Pigments, prepared; opacifiers, colours, vitrifiable enamels, glazes, engobes (slips), liquid lustres etc as used in the ceramic enamelling or glass industry; glass frit and powder, granules or flakes",26535.0,26535.0
3208,"Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium",1028214.84,1028214.84
3209,"Paints and varnishes (including enamels and lacquers) based on synthetic or chemically modified natural polymers, dispersed or dissolved in an aqueous medium",102275.11,102275.11
3210,"Paints and varnishes (including enamels, lacquers and distempers), excluding those of heading no. 3209, prepared water pigments of a kind used for finishing leather",61815.83,61815.83
3214,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for facades, indoor walls, floors, ceilings or the like",74038.35,74038.35
3215,"Ink; printing, writing or drawing ink and other inks; whether or not concentrated or solid",22193.0,22193.0
3301,"Oils; essential (concretes, absolutes); concentrates thereof in fats, fixed oils, waxes or the like (obtained by enfleurage or maceration); aqueous distillates, solutions and terpenic by-products ther",15873.46,15873.46
3302,"Odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferou",429155.75,429155.75
3303,Perfumes and toilet waters,3435286.2699999996,3435286.2699999996
3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",6062013.42,6062013.42
3305,Hair preparations; for use on the hair,1373691.3900000001,1373691.3900000001
3306,"Oral or dental hygiene preparations; including fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages",2739198.8400000003,2739198.8400000003
3307,"Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or ",373914.94,373914.94
3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces, shapes, liquid or cream, containing soap or not; for retail, paper, wadding, felt and nonwovens, i",14178348.64,14178348.64
3402,"Organic surface-active agents (not soap); surface-active, washing (including auxiliary washing) and cleaning preparations, containing soap or not, excluding those of heading no. 3401",536521.04,536521.04
3403,Lubricating preparations and those used in oil or grease treatment of textile and similar materials; excluding preparations containing 70% or more (by weight) of petroleum or bituminous mineral oils,41816.05,41816.05
3405,"Polishes, creams, scouring pastes, powders and similar; in any form, (including articles impregnated, coated or covered with such), for furniture, footwear, floors, coachwork, glass or metal",183395.7,183395.7
3406,"Candles, tapers and the like",873314.17,873314.17
3504,"Peptones and their derivatives; other protein substances and their derivatives n.e.c. or included; hide powder, whether or not chromed",486797.94999999995,486797.94999999995
3506,"Prepared glues and other prepared adhesives, n.e.c. or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding 1kg net weight",1024297.78,1024297.78
3507,Enzymes; prepared enzymes not elsewhere specified or included,28256.940000000002,28256.940000000002
3605,Matches; other than pyrotechnic articles of heading no. 3604,1151569.12,1151569.12
3808,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products, plant growth regulators, disinfectants and the like, put up in forms or packings for retail sale or as preparations or arti",6616489.529999999,6616489.529999999
3814,"Organic composite solvents and thinners, not elsewhere specified or included; prepared paint or varnish removers",285492.0,285492.0
3816,"Refractory cements, mortars, concretes and similar compositions; other than products of heading no. 3801",1202903.57,1202903.57
3819,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals",172315.0,172315.0
3822,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference m",47489.42,47489.42
3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specif",37156427.28,37156427.28
3901,"Polymers of ethylene, in primary forms",13899918.96,13899918.96
3903,"Polymers of styrene, in primary forms",159840.0,159840.0
3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms",761012.02,761012.02
3906,Acrylic polymers in primary forms,103749.0,103749.0
3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",120726.5,120726.5
3910,Silicones in primary forms,15.0,15.0
3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39, in primary forms",881123.3,881123.3
3912,"Cellulose and its chemical derivatives, n.e.c. or included, in primary forms",238356.76,238356.76
3917,"Tubes, pipes and hoses and fittings thereof (for example, joints, elbows, flanges), of plastics",1264802.5299999998,1264802.5299999998
3920,"Plastics; plates, sheets, film, foil and strip (not self-adhesive); non-cellular and not reinforced, laminated, supported or similarly combined with other materials, n.e.c. in chapter 39",393.0,393.0
3921,"Plastic plates, sheets, film, foil and strip n.e.c. in chapter 39",1803.03,1803.03
3923,"Plastic articles for the conveyance or packing of goods; stoppers, lids, caps and other closures of plastics",8358780.25,8358780.25
3924,"Tableware, kitchenware, other household articles and hygienic or toilet articles, of plastics",373749.3,373749.3
3926,"Articles of plastics and articles of other materials of heading no. 3901 to 3914, n.e.c. in chapter 39",3211745.91,3211745.91
4008,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber other than hard rubber",113442.16,113442.16
4011,"New pneumatic tyres, of rubber",11580667.56,11580667.56
4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",38141.8,38141.8
4013,"Inner tubes, of rubber",17213.7,17213.7
4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",52614.0,52614.0
4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",28261.0,28261.0
4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",175330.26,175330.26
4202,"Trunks; suit, camera, jewellery, cutlery cases; travel, tool, similar bags; wholly or mainly covered by leather, composition leather, plastic sheeting, textile materials, vulcanised fibre, paperboard",1015368.61,1015368.61
4203,"Articles of apparel and clothing accessories, of leather or of composition leather",124063.75,124063.75
4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm",26633403.860000003,26633403.860000003
4411,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances",3159450.98,3159450.98
4412,"Plywood, veneered panels and similar laminated wood",14095371.29,14095371.29
4416,"Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves",27541.0,27541.0
4416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",13016.0,13016.0
4418,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes",1764973.4100000001,1764973.4100000001
4420,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles of wood; statuettes and other ornaments of wood; wooden articles of furniture not falling in chapter 94",267044.99,267044.99
4421,Wooden articles n.e.c. in heading no. 4414 to 4420,807920.1,807920.1
4504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,40521.0,40521.0
4802,"Uncoated paper and paperboard, used for writing, printing or other graphics, non perforated punch-cards and punch tape paper, in rolls or rectangular sheets, of any size, other than paper of heading 4",836682.8300000001,836682.8300000001
4804,"Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading no. 4802 or 4803",132127.72,132127.72
4809,"Carbon paper, self copy paper, and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets",6978673.12,6978673.12
4811,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, decorated or printed, rolls or sheets, other than goods of heading no. 4803, 4809, or",28470.0,28470.0
4812,"Filter blocks, slabs and plates of paper pulp",129282.79999999999,129282.79999999999
4813,"Cigarette paper, whether or not cut to size or in the form of booklets or tubes",106950.8,106950.8
4816,"Carbon paper, self-copy paper and other copying or transfer papers, (other than those of heading no. 4809), duplicator stencils and offset plates, of paper whether or not put up in boxes",187890.97,187890.97
4817,"Envelopes, letter cards, plain postcards and correspondence cards, of paper, paperboard; boxes, pouches, wallets and writing compendiums, of paper or paperboard containing assortment of paper statione",391519.88,391519.88
4818,"Toilet paper, width 36cm or less or cut to size/shape; handkerchiefs, tissues, towels, serviettes, bed sheets and similar household or hospital articles, apparel and clothing accessories of paper pulp",2156629.66,2156629.66
4819,"Cartons, boxes, cases, bags and the like, of paper, paperboard, cellulose wadding or fibres; box files, letter trays and the like, of paper or paperboard, of a kind used in offices, shops or the like",5100649.01,5100649.01
4820,"Registers, account books, diaries and similar; albums for samples or collections, of paper or paperboard",2947717.13,2947717.13
4821,"Paper or paperboard labels of all kinds, whether or not printed",2378.95,2378.95
4823,"Paper, paperboard, cellulose wadding and webs of cellulose fibres; cut to size or shape, articles of paper pulp, paper and paper-board, cellulose wadding or webs of cellulose fibres, n.e.c. in chapter",300007.13999999996,300007.13999999996
4901,Animals; live,133442.0,133442.0
4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",650511.77,650511.77
4902,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising material",220561.19,220561.19
4910,"Calendars of any kind, printed, including calendar blocks",78.0,78.0
4911,"Printed matter, n.e.c., including printed pictures and photographs",130664.73,130664.73
5204,"Cotton sewing thread, whether or not put up for retail sale",336301.45999999996,336301.45999999996
5401,"Sewing thread of man-made filaments, whether or not put up for retail sale",420444.43,420444.43
5402,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex",678419.38,678419.38
5503,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning",147452.41999999998,147452.41999999998
5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",13143273.85,13143273.85
5607,"Twine, cordage, ropes and cables, whether or not plaited or braided; whether or not impregnated, coated, covered or sheathed with rubber or plastics",120369.0,120369.0
5608,"Twine, cordage or rope; knotted netting, made up fishing nets and other made up nets, of textile materials",66728.1,66728.1
5806,"Fabrics; narrow woven, other than goods of heading no. 5807; narrow fabrics consisting of warp without weft assembled by means of an adhesive (bolducs)",9195.0,9195.0
5810,"Embroidery; in the piece, in strips or in motifs",3063.75,3063.75
5903,"Fish and crustaceans, molluscs and other aquatic invertebrates",45842.3,45842.3
6302,"Bed linen, table linen, toilet linen and kitchen linen",44927.79,44927.79
6303,Curtains (including drapes) and interior blinds; curtain or bed valances,204485.0,204485.0
6305,"Sacks and bags, of a kind used for the packing of goods",1910075.2,1910075.2
6307,"Textiles; made up articles n.e.c. in chapter 63, including dress patterns",8.0,8.0
6309,Textiles; worn clothing and other worn articles,36760555.12,36760555.12
6403,"Footwear; with outer soles of rubber, plastics, leather or composition leather and uppers of leather",1932977.06,1932977.06
6404,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",635.0,635.0
6405,Footwear; other footwear n.e.c. in chapter 64,8922836.05,8922836.05
6505,"Hats and other headgear; knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether",43230.0,43230.0
6601,"Umbrellas; sun umbrellas (including walking stick umbrellas, garden umbrellas and similar umbrellas)",27689.65,27689.65
6702,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit",6184.0,6184.0
6704,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair, n.e.c. or included",3980428.65,3980428.65
6802,"Monumental or building stone, worked (except slate) and articles thereof (not of heading no. 6801) mosaic cubes etc., of natural stone including slate; artificially coloured granules of natural stone",289330.0,289330.0
6805,"Abrasive powder or grain; natural or artificial, on a base of textile material, of paper, paperboard or of other material, whether or not cut to shape or sewn or otherwise made up",59816.0,59816.0
6809,Plaster or compositions based on plaster; articles thereof,18983.45,18983.45
6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",85112.58,85112.58
6811,"Asbestos-cement, of cellulose fibre-cement or the like",1496733.6400000001,1496733.6400000001
6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",49261691.94,49261691.94
6905,"Roofing tiles, chimney-pots, cowls, chimney liners, architectural ornaments and other ceramic constructional goods",145463.38,145463.38
6910,"Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures",178003.0,178003.0
6911,"Tableware, kitchenware, other household articles and toilet articles; of porcelain or china",48438.0,48438.0
6912,"Ceramic tableware, kitchenware, other household articles and toilet articles; other than of porcelain or china",10692.0,10692.0
6914,Ceramic articles; n.e.c. in chapter 69,62070.0,62070.0
7002,"Glass in balls (other than microspheres of heading no. 7018), rods or tubes, unworked",25038.0,25038.0
7007,"Safety glass, consisting of toughened (tempered) or laminated glass",91.0,91.0
7009,"Glass mirrors; whether or not framed, including rear-view mirrors",30239.2,30239.2
7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures of glass",10174117.75,10174117.75
7013,"Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than of heading no. 7010 or 7018)",23545.68,23545.68
7016,"Glass; paving blocks, slabs, bricks, tiles etc, of pressed, moulded glass, whether or not wired, glass smallwares for decorative purposes leaded lights and the like; multicellular or foam glass",1943556.03,1943556.03
7020,Glass; articles n.e.c. in chapter 70,85645.23999999999,85645.23999999999
7206,Iron and non-alloy steel in ingots or other primary forms (excluding iron of heading no. 7203),1150105.91,1150105.91
7210,"Iron or non-alloy steel; flat-rolled products, width 600mm or more, clad, plated or coated",632505.0,632505.0
7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",45741522.31,45741522.31
7216,"Iron or non-alloy steel, angles, shapes and sections",1087940.0,1087940.0
7217,Wire of iron or non-alloy steel,3600288.0,3600288.0
7219,Stainless steel; flat-rolled products of width of 600mm or more,9933.6,9933.6
7220,Stainless steel; flat-rolled products of width less than 600mm,619173.98,619173.98
7225,"Alloy steel flat-rolled products, of a width 600mm or more",6725946.02,6725946.02
7228,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",3295456.26,3295456.26
7303,"Tubes, pipes and hollow profiles, of cast iron",5927.08,5927.08
7307,"Tube or pipe fittings (e.g. couplings, elbows, sleeves), of iron or steel",388238.5,388238.5
7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures",19117662.18,19117662.18
