country_origin,hs_code,hs_description,period_value,ytd_value,share_of_total,period_value_teu,ytd_value_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,share_of_total_shipment,period_value_container,ytd_value_container,share_of_total_container,period_value_vrac,ytd_value_vrac,share_of_total_vrac
BARBADOS,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,3005103.0,3005103.0,0.07344421396231214,0.0,0.0,0.0,1,1,0.0023029800561927133,0,0,0.0,1,1,0.008013462617196892
BELGIUM,0203,"Meat of swine; fresh, chilled or frozen",764991.8799999999,764991.8799999999,0.01869627341031286,61.75,61.75,0.06085182703299302,23,23,0.052968541292432406,28,28,0.04765308553728854,0,0,0.0
BELGIUM,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",1231419.96,1231419.96,0.030095697558353857,110.75,110.75,0.10913910678387008,16,16,0.03684768089908341,45,45,0.07658531604207086,0,0,0.0
BELGIUM,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,97137.35,97137.35,0.002374020563398992,6.0,6.0,0.005912728132760455,5,5,0.011514900280963566,5,5,0.008509479560230097,0,0,0.0
BELGIUM,0405,Butter and other fats and oils derived from milk; dairy spreads,73081.62,73081.62,0.0017861025515572644,5.25,5.25,0.0051736371161653985,3,3,0.00690894016857814,4,4,0.0068075836481840775,0,0,0.0
BELGIUM,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",2674021.0,2674021.0,0.06535262533887054,185.5,185.5,0.18280184477117742,64,64,0.14739072359633365,92,92,0.15657442390823378,0,0,0.0
BELGIUM,1107,Malt; whether or not roasted,8266332.37,8266332.37,0.20202777850405354,670.0,670.0,0.6602546414915842,38,38,0.0875132421353231,318,318,0.5412029000306341,0,0,0.0
BELGIUM,1901,"Malt extract; flour/groats/meal/starch/malt extract products, no cocoa (or less than 40% by weight) and food preparations of goods of headings 04.01 to 04.04, no cocoa (or less than 5% by weight), wei",41292.65,41292.65,0.0010091854494407907,6.0,6.0,0.005912728132760455,2,2,0.004605960112385427,2,2,0.0034037918240920387,0,0,0.0
BELGIUM,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",202181.0,202181.0,0.004941269774485012,10.0,10.0,0.009854546887934093,2,2,0.004605960112385427,10,10,0.017018959120460194,0,0,0.0
BELGIUM,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",88727.6,88727.6,0.0021684876820403315,5.0,5.0,0.0049272734439670465,1,1,0.0023029800561927133,5,5,0.008509479560230097,0,0,0.0
BELGIUM,2106,Food preparations not elsewhere specified or included,178338.5,178338.5,0.00435856306812705,13.5,13.5,0.013303638298711026,7,7,0.016120860393348993,7,7,0.011913271384322134,0,0,0.0
BELGIUM,2201,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow",133372.81,133372.81,0.0032596091363240477,7.0,7.0,0.006898182821553865,4,4,0.009211920224770853,7,7,0.011913271384322134,0,0,0.0
BELGIUM,2202,"Waters, including mineral and aerated waters, containing added sugar or sweetening matter, flavoured; other non-alcoholic beverages, not including fruit or vegetable juices of heading no. 2009",151508.16999999998,151508.16999999998,0.0037028342970335327,9.0,9.0,0.008869092199140683,6,6,0.01381788033715628,9,9,0.015317063208414174,0,0,0.0
BELGIUM,2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",632927.6000000001,632927.6000000001,0.015468644528008764,36.0,36.0,0.035476368796562734,7,7,0.016120860393348993,36,36,0.061268252833656695,0,0,0.0
BELGIUM,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents",10958.75,10958.75,0.00026783001439867056,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,2942,Organic compounds; n.e.c. in chapter 29,17240.0,17240.0,0.0004213427122831601,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal",106041.34000000001,106041.34000000001,0.00259163258757197,14.5,14.5,0.014289092987504434,7,7,0.016120860393348993,7,7,0.011913271384322134,0,0,0.0
BELGIUM,3006,Pharmaceutical goods,72373.88,72373.88,0.0017688055045044057,20.5,20.5,0.02020182112026489,11,11,0.025332780618119846,11,11,0.01872085503250621,0,0,0.0
BELGIUM,3207,"Pigments, prepared; opacifiers, colours, vitrifiable enamels, glazes, engobes (slips), liquid lustres etc as used in the ceramic enamelling or glass industry; glass frit and powder, granules or flakes",26535.0,26535.0,0.0006485109553615808,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,3302,"Odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferou",60041.520000000004,60041.520000000004,0.0014674046917867519,6.0,6.0,0.005912728132760455,3,3,0.00690894016857814,3,3,0.005105687736138058,0,0,0.0
BELGIUM,3303,Perfumes and toilet waters,126028.23999999999,126028.24,0.0030801090757466964,14.0,14.0,0.01379636564310773,7,7,0.016120860393348993,7,7,0.011913271384322134,0,0,0.0
BELGIUM,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",1462.0,1462.0,3.573103511357193e-05,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,3306,"Oral or dental hygiene preparations; including fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages",7743.36,7743.36,0.00018924642137963635,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces, shapes, liquid or cream, containing soap or not; for retail, paper, wadding, felt and nonwovens, i",47416.28,47416.28,0.0011588459409267841,4.0,4.0,0.003941818755173637,4,4,0.009211920224770853,4,4,0.0068075836481840775,0,0,0.0
BELGIUM,3402,"Organic surface-active agents (not soap); surface-active, washing (including auxiliary washing) and cleaning preparations, containing soap or not, excluding those of heading no. 3401",15720.76,15720.76,0.0003842127411573441,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specif",2024.0,2024.0,4.946622097802297e-05,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,4802,"Uncoated paper and paperboard, used for writing, printing or other graphics, non perforated punch-cards and punch tape paper, in rolls or rectangular sheets, of any size, other than paper of heading 4",22118.0,22118.0,0.0005405602152133953,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,4819,"Cartons, boxes, cases, bags and the like, of paper, paperboard, cellulose wadding or fibres; box files, letter trays and the like, of paper or paperboard, of a kind used in offices, shops or the like",21384.0,21384.0,0.0005226213781591122,2.0,2.0,0.0019709093775868184,2,2,0.004605960112385427,2,2,0.0034037918240920387,0,0,0.0
BELGIUM,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",13500.0,13500.0,0.0003299377387368133,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,6309,Textiles; worn clothing and other worn articles,3273795.0,3273795.0,0.08001100143613968,260.0,260.0,0.2562182190862864,65,65,0.14969370365252638,116,116,0.19741992579733825,0,0,0.0
BELGIUM,7016,"Glass; paving blocks, slabs, bricks, tiles etc, of pressed, moulded glass, whether or not wired, glass smallwares for decorative purposes leaded lights and the like; multicellular or foam glass",22489.59,22489.59,0.0005496418125717073,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,8422,"Dish washing machines; machinery for cleaning, drying, filling, closing, sealing, capsuling or labelling bottles, cans, boxes, bags, etc, machinery for aerating beverages",24380.0,24380.0,0.0005958431163261859,5.0,5.0,0.0049272734439670465,3,3,0.00690894016857814,3,3,0.005105687736138058,0,0,0.0
BELGIUM,8438,"Machinery n.e.c. in this chapter, for the industrial preparation or manufacture of food or drink; other than machinery for extraction or preparation of animal or fixed vegetable fats or oils",52920.0,52920.0,0.001293355935848308,4.0,4.0,0.003941818755173637,1,1,0.0023029800561927133,2,2,0.0034037918240920387,0,0,0.0
BELGIUM,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",17564.5,17564.5,0.00042927343792909314,6.0,6.0,0.005912728132760455,4,4,0.009211920224770853,4,4,0.0068075836481840775,0,0,0.0
BELGIUM,9026,"Instruments, apparatus for measuring or checking the flow, level, pressure of liquids, gases (e.g. flow meters, heat meters etc), not instruments and apparatus of heading no. 9014, 9015, 9028 or 9032",334.0,334.0,8.162904054673751e-06,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,9209,"Musical instrument parts (for example, mechanisms for musical boxes) and accessories (for example, cards, discs and rolls for mechanical instruments); metronomes, tuning forks and pitch pipes",2930.0,2930.0,7.1608709222138e-05,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BELGIUM,9999,Commodities not specified according to kind,101256.97,101256.97,0.002474703386158618,17.25,17.25,0.01699909338168631,10,10,0.023029800561927133,10,10,0.017018959120460194,0,0,0.0
BRAZIL,0203,"Meat of swine; fresh, chilled or frozen",7819873.369999999,7819873.370000001,0.19111639532637212,664.75,664.75,0.6550810043754188,310,310,0.7139238174197411,311,311,0.529289628646312,0,0,0.0
BRAZIL,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",20100529.77,20100529.77,0.49125358072042946,1521.25,1521.25,1.4991229453269739,721,721,1.6604486205149462,735,735,1.2508934953538242,0,0,0.0
BRAZIL,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,1856059.6099999999,1856059.6099999999,0.04536178597660234,137.25,137.25,0.13525365603689543,37,37,0.08521026207913039,68,68,0.11572892201912931,0,0,0.0
BRAZIL,0405,Butter and other fats and oils derived from milk; dairy spreads,27000.0,27000.0,0.0006598754774736266,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",89750.0,89750.0,0.002193474966787333,6.5,6.5,0.00640545547715716,2,2,0.004605960112385427,3,3,0.005105687736138058,0,0,0.0
BRAZIL,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",280560.0,280560.0,0.006856839405925951,20.0,20.0,0.019709093775868186,2,2,0.004605960112385427,10,10,0.017018959120460194,0,0,0.0
BRAZIL,1103,Cereal groats; meal and pellets,46100.0,46100.0,0.00112667627820497,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,1108,Starches; inulin,668274.0,668274.0,0.016332504623452235,52.0,52.0,0.05124364381725728,8,8,0.018423840449541706,26,26,0.044249293713196504,0,0,0.0
BRAZIL,1507,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",23830.0,23830.0,0.0005824012084517231,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",23830.0,23830.0,0.0005824012084517231,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",9816810.16,9816810.16,0.23992119598510922,741.5,741.5,0.730714651740313,347,347,0.7991340794988715,348,348,0.5922597773920147,0,0,0.0
BRAZIL,1602,"Prepared or preserved meat, meat offal or blood",57834.0,57834.0,0.0014134532727485083,6.0,6.0,0.005912728132760455,2,2,0.004605960112385427,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",19896916.6,19896916.6,0.4862773089510344,476.0,476.0,0.46907643186566284,45,45,0.1036341025286721,366,366,0.622893903808843,11,11,0.0881480887891658
BRAZIL,1704,"Sugar confectionery (including white chocolate), not containing cocoa",1131979.69,1131979.69,0.027665394015896218,87.25,87.25,0.08598092159722497,20,20,0.046059601123854266,43,43,0.07318152421797883,0,0,0.0
BRAZIL,1901,"Malt extract; flour/groats/meal/starch/malt extract products, no cocoa (or less than 40% by weight) and food preparations of goods of headings 04.01 to 04.04, no cocoa (or less than 5% by weight), wei",98904.43999999999,98904.43999999999,0.0024172079470096905,15.0,15.0,0.01478182033190114,7,7,0.016120860393348993,8,8,0.013615167296368155,0,0,0.0
BRAZIL,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",195821.0,195821.0,0.004785832439791224,14.0,14.0,0.01379636564310773,4,4,0.009211920224770853,7,7,0.011913271384322134,0,0,0.0
BRAZIL,2106,Food preparations not elsewhere specified or included,130460.93,130460.93,0.0031884432768667917,8.0,8.0,0.007883637510347274,4,4,0.009211920224770853,5,5,0.008509479560230097,0,0,0.0
BRAZIL,2202,"Waters, including mineral and aerated waters, containing added sugar or sweetening matter, flavoured; other non-alcoholic beverages, not including fruit or vegetable juices of heading no. 2009",419347.0,419347.0,0.010248770438967885,34.5,34.5,0.03399818676337262,9,9,0.02072682050573442,15,15,0.02552843868069029,0,0,0.0
BRAZIL,2203,Beer made from malt,194912.0,194912.0,0.0047636166320496115,14.75,14.75,0.014535456659702788,6,6,0.01381788033715628,7,7,0.011913271384322134,0,0,0.0
BRAZIL,2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",2445161.3,2445161.3,0.05975933260509383,181.75,181.75,0.17910638968820214,75,75,0.1727235042144535,89,89,0.15146873617209572,0,0,0.0
BRAZIL,2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liqueurs and other spirituous beverages",551134.22,551134.22,0.013469628021279807,41.5,41.5,0.040896369584926484,10,10,0.023029800561927133,20,20,0.03403791824092039,0,0,0.0
BRAZIL,2309,Preparations of a kind used in animal feeding,428917.62,428917.62,0.010482674788679687,34.5,34.5,0.03399818676337262,16,16,0.03684768089908341,16,16,0.02723033459273631,0,0,0.0
BRAZIL,2839,Silicates; commercial alkali metal silicates,20692.0,20692.0,0.0005057090140697882,2.25,2.25,0.002217273049785171,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,2842,"Salts of inorganic acids or peroxoacids, n.e.c. including aluminosilicates whether or not chemically defined, but excluding azides",1976001.98,1976001.98,0.048293157408938206,91.0,91.0,0.08967637668020025,25,25,0.05757450140481783,89,89,0.15146873617209572,0,0,0.0
BRAZIL,2847,Hydrogen peroxide; whether or not solidified with urea,10590.0,10590.0,0.0002588178261646558,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",4171944.0,4171944.0,0.10196161255530488,324.0,324.0,0.3192873191690646,37,37,0.08521026207913039,152,152,0.2586881786309949,0,0,0.0
BRAZIL,3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal",15947.1,15947.1,0.000389744452845173,2.25,2.25,0.002217273049785171,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,3303,Perfumes and toilet waters,1786.0,1786.0,4.364954084325545e-05,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,3901,"Polymers of ethylene, in primary forms",69924.0,69924.0,0.0017089308476616989,6.75,6.75,0.006651819149355513,1,1,0.0023029800561927133,3,3,0.005105687736138058,0,0,0.0
BRAZIL,3917,"Tubes, pipes and hoses and fittings thereof (for example, joints, elbows, flanges), of plastics",10875.4,10875.4,0.000265792954359877,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,3926,"Articles of plastics and articles of other materials of heading no. 3901 to 3914, n.e.c. in chapter 39",44157.0,44157.0,0.0010791896836593678,4.0,4.0,0.003941818755173637,1,1,0.0023029800561927133,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,4011,"New pneumatic tyres, of rubber",13441.93,13441.93,0.000328518517663595,3.25,3.25,0.00320272773857858,2,2,0.004605960112385427,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm",186225.0,186225.0,0.004551307807130597,15.0,15.0,0.01478182033190114,5,5,0.011514900280963566,7,7,0.011913271384322134,0,0,0.0
BRAZIL,4411,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances",2600842.6,2600842.6,0.06356415750032401,197.5,197.5,0.19462730103669834,12,12,0.02763576067431256,97,97,0.16508390346846386,0,0,0.0
BRAZIL,4412,"Plywood, veneered panels and similar laminated wood",5338586.24,5338586.24,0.1304741534871901,401.75,401.75,0.39590642122275216,48,48,0.11054304269725024,196,196,0.33357159876101977,0,0,0.0
BRAZIL,4418,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes",1384358.4500000002,1384358.4500000002,0.0338334886366074,137.75,137.75,0.13574638338129213,20,20,0.046059601123854266,68,68,0.11572892201912931,0,0,0.0
BRAZIL,4421,Wooden articles n.e.c. in heading no. 4414 to 4420,567448.97,567448.97,0.013868357778543245,51.75,51.75,0.05099728014505893,3,3,0.00690894016857814,23,23,0.039143605977058446,0,0,0.0
BRAZIL,4809,"Carbon paper, self copy paper, and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets",25060.0,25060.0,0.0006124622024255216,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,4812,"Filter blocks, slabs and plates of paper pulp",129282.79999999999,129282.79999999999,0.003159649977004717,12.0,12.0,0.01182545626552091,6,6,0.01381788033715628,6,6,0.010211375472276116,0,0,0.0
BRAZIL,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",22066.0,22066.0,0.0005392893439234461,3.25,3.25,0.00320272773857858,2,2,0.004605960112385427,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",6845.6,6845.6,0.00016730531735531328,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,6305,"Sacks and bags, of a kind used for the packing of goods",171.0,171.0,4.179211357332969e-06,0.0,0.0,0.0,1,1,0.0023029800561927133,0,0,0.0,1,1,0.008013462617196892
BRAZIL,6309,Textiles; worn clothing and other worn articles,19088.04,19088.04,0.000466508500334655,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,6405,Footwear; other footwear n.e.c. in chapter 64,6074.05,6074.05,0.00014844876459069192,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,6809,Plaster or compositions based on plaster; articles thereof,18983.45,18983.45,0.0004639523382535821,2.0,2.0,0.0019709093775868184,2,2,0.004605960112385427,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",12615321.04,12615321.04,0.30831633313900325,496.0,496.0,0.488785525641531,77,77,0.17732946432683894,474,474,0.8066986623098131,0,0,0.0
BRAZIL,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures of glass",56223.14,56223.14,0.0013740841241691316,4.5,4.5,0.004434546099570342,2,2,0.004605960112385427,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,7321,"Stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances and parts, of iron or st",233851.46000000002,233851.46000000002,0.005715290512052026,90.0,90.0,0.08869092199140684,11,11,0.025332780618119846,45,45,0.07658531604207086,0,0,0.0
BRAZIL,8201,"Tools, hand; spades, shovels, mattocks, picks, hoes, forks, rakes; axes, bill hooks etc; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools us",66064.95000000001,66064.95000000001,0.0016146163120563436,6.5,6.5,0.00640545547715716,3,3,0.00690894016857814,3,3,0.005105687736138058,0,0,0.0
BRAZIL,8215,"Cutlery; spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter knives, sugar tongs and similar kitchen or tableware",26007.2,26007.2,0.0006356116117685964,2.25,2.25,0.002217273049785171,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",5112.0,5112.0,0.00012493642373500663,2.25,2.25,0.002217273049785171,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",62874.7,62874.7,0.0015366471364263346,6.25,6.25,0.006159091804958808,3,3,0.00690894016857814,3,3,0.005105687736138058,0,0,0.0
BRAZIL,8450,Household or laundry-type washing machines; including machines which both wash and dry,4998.0,4998.0,0.00012215028283011798,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,8477,"Machinery; for working rubber or plastics or for the manufacture of products from these materials, n.e.c. in this chapter",14882.0,14882.0,0.00036371358725046336,4.5,4.5,0.004434546099570342,1,1,0.0023029800561927133,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,8502,Electric generating sets and rotary converters,19530.0,19530.0,0.00047730992870592323,6.25,6.25,0.006159091804958808,2,2,0.004605960112385427,2,2,0.0034037918240920387,0,0,0.0
BRAZIL,8506,Cells and batteries; primary,22045.2,22045.2,0.0005387809954074664,2.0,2.0,0.0019709093775868184,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
BRAZIL,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",64020.0,64020.0,0.0015646380765874657,0.0,0.0,0.0,1,1,0.0023029800561927133,0,0,0.0,1,1,0.008013462617196892
BRAZIL,8704,Vehicles; for the transport of goods,42460.0,42460.0,0.0010377152879085254,0.0,0.0,0.0,1,1,0.0023029800561927133,0,0,0.0,1,1,0.008013462617196892
